AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
Terrain003,1K,obj,118504093,https://cc0textures.com/get?file=Terrain003_1K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/2^Models/Terrain003_1K.obj
Terrain003,2K,obj,501016687,https://cc0textures.com/get?file=Terrain003_2K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/2^Models/Terrain003_2K.obj
Terrain003,2K-JPG,zip,17732979,https://cc0textures.com/get?file=Terrain003_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/3^Additional Maps/Terrain003_2K-JPG.zip
Terrain003,2K-PNG,zip,52684157,https://cc0textures.com/get?file=Terrain003_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/3^Additional Maps/Terrain003_2K-PNG.zip
Terrain003,4K,obj,2085713088,https://cc0textures.com/get?file=Terrain003_4K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/2^Models/Terrain003_4K.obj
Terrain003,4K-JPG,zip,65252194,https://cc0textures.com/get?file=Terrain003_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/3^Additional Maps/Terrain003_4K-JPG.zip
Terrain003,4K-PNG,zip,206346197,https://cc0textures.com/get?file=Terrain003_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/3^Additional Maps/Terrain003_4K-PNG.zip
Terrain003,8K,exr,268566805,https://cc0textures.com/get?file=Terrain003_8K.exr,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/1^Height Maps/Terrain003_8K.exr
Terrain003,8K-JPG,zip,250229215,https://cc0textures.com/get?file=Terrain003_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/3^Additional Maps/Terrain003_8K-JPG.zip
Terrain003,8K-PNG,zip,808711217,https://cc0textures.com/get?file=Terrain003_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain003_a7fdou1g/3^Additional Maps/Terrain003_8K-PNG.zip
Terrain002,1K,obj,118504147,https://cc0textures.com/get?file=Terrain002_1K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/2^Models/Terrain002_1K.obj
Terrain002,2K,obj,501015493,https://cc0textures.com/get?file=Terrain002_2K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/2^Models/Terrain002_2K.obj
Terrain002,2K-JPG,zip,18520048,https://cc0textures.com/get?file=Terrain002_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/3^Additional Maps/Terrain002_2K-JPG.zip
Terrain002,2K-PNG,zip,53210553,https://cc0textures.com/get?file=Terrain002_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/3^Additional Maps/Terrain002_2K-PNG.zip
Terrain002,4K,obj,2085718295,https://cc0textures.com/get?file=Terrain002_4K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/2^Models/Terrain002_4K.obj
Terrain002,4K-JPG,zip,68473413,https://cc0textures.com/get?file=Terrain002_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/3^Additional Maps/Terrain002_4K-JPG.zip
Terrain002,4K-PNG,zip,208682425,https://cc0textures.com/get?file=Terrain002_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/3^Additional Maps/Terrain002_4K-PNG.zip
Terrain002,8K,exr,258076893,https://cc0textures.com/get?file=Terrain002_8K.exr,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/1^Height Maps/Terrain002_8K.exr
Terrain002,8K-JPG,zip,263031501,https://cc0textures.com/get?file=Terrain002_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/3^Additional Maps/Terrain002_8K-JPG.zip
Terrain002,8K-PNG,zip,822081637,https://cc0textures.com/get?file=Terrain002_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain002_409aap48/3^Additional Maps/Terrain002_8K-PNG.zip
Terrain001,1K,obj,118503573,https://cc0textures.com/get?file=Terrain001_1K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/2^Models/Terrain001_1K.obj
Terrain001,2K,obj,501015652,https://cc0textures.com/get?file=Terrain001_2K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/2^Models/Terrain001_2K.obj
Terrain001,2K-JPG,zip,17899858,https://cc0textures.com/get?file=Terrain001_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/3^Additional Maps/Terrain001_2K-JPG.zip
Terrain001,2K-PNG,zip,52799813,https://cc0textures.com/get?file=Terrain001_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/3^Additional Maps/Terrain001_2K-PNG.zip
Terrain001,4K,obj,2085716043,https://cc0textures.com/get?file=Terrain001_4K.obj,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/2^Models/Terrain001_4K.obj
Terrain001,4K-JPG,zip,65780161,https://cc0textures.com/get?file=Terrain001_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/3^Additional Maps/Terrain001_4K-JPG.zip
Terrain001,4K-PNG,zip,206841766,https://cc0textures.com/get?file=Terrain001_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/3^Additional Maps/Terrain001_4K-PNG.zip
Terrain001,8K,exr,259095339,https://cc0textures.com/get?file=Terrain001_8K.exr,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/1^Height Maps/Terrain001_8K.exr
Terrain001,8K-JPG,zip,252296132,https://cc0textures.com/get?file=Terrain001_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/3^Additional Maps/Terrain001_8K-JPG.zip
Terrain001,8K-PNG,zip,812145841,https://cc0textures.com/get?file=Terrain001_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Terrain001_7okvgz2l/3^Additional Maps/Terrain001_8K-PNG.zip
LeafSet020,2K-JPG,zip,2709210,https://cc0textures.com/get?file=LeafSet020_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/LeafSet020_a437jvt6/LeafSet020_2K-JPG.zip
LeafSet020,2K-PNG,zip,17890161,https://cc0textures.com/get?file=LeafSet020_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/LeafSet020_a437jvt6/LeafSet020_2K-PNG.zip
